,age_type,gender_type,degree_type
1,7,0,0
2,7,0,3
3,1,0,3
4,6,0,1
5,6,0,1
6,2,4,2
7,0,4,6
8,3,0,0
9,1,0,0
10,3,0,2
11,5,0,1
12,0,4,3
13,0,4,3
14,6,0,3
15,1,0,0
16,4,0,1
17,7,0,0
18,0,0,0
19,1,0,3
20,3,0,0
21,10,0,0
22,2,4,0
23,3,0,3
24,4,0,3
25,0,0,0
26,2,4,3
27,6,0,1
28,1,0,3
29,1,4,0
30,0,0,0
31,1,0,0
32,3,0,3
33,1,1,6
34,3,4,0
35,1,0,0
36,3,4,0
37,2,4,3
38,3,0,0
39,1,0,4
40,0,0,0
41,2,0,3
42,2,0,3
43,8,0,3
44,3,4,3
45,0,0,6
46,5,0,3
47,1,0,6
48,0,4,0
49,2,0,0
50,3,4,3
51,2,0,6
52,5,0,0
53,5,0,3
54,5,0,3
55,3,0,3
56,1,4,0
57,3,4,3
58,4,4,2
59,0,0,0
60,4,0,0
61,0,0,6
62,0,0,0
63,3,0,3
64,0,0,0
65,0,0,0
66,5,0,1
67,3,2,2
68,3,0,3
69,4,0,0
70,5,0,3
71,2,0,0
72,1,0,6
73,3,4,3
74,6,0,3
75,1,0,3
76,5,0,1
77,7,0,3
78,1,0,3
79,2,0,1
80,1,0,0
81,4,0,5
82,3,0,3
83,3,0,3
84,0,0,3
85,2,0,5
86,1,0,0
87,2,0,3
88,2,0,3
89,2,4,0
90,8,0,0
91,2,4,3
92,3,0,3
93,1,0,3
94,8,0,0
95,0,0,0
96,3,0,0
97,2,0,3
98,5,0,3
99,1,0,0
100,1,0,3
101,0,4,6
102,2,0,3
103,1,0,0
104,2,0,0
105,5,4,3
106,4,0,1
107,3,0,3
108,8,0,3
109,5,0,0
110,1,0,0
111,0,0,0
112,1,4,3
113,6,0,3
114,3,4,2
115,0,0,0
116,9,0,1
117,2,0,0
118,5,0,3
119,0,4,0
120,4,0,3
121,0,0,6
122,10,0,3
123,5,0,3
124,3,0,3
125,9,0,3
126,2,0,0
127,5,0,1
128,5,4,1
129,1,0,6
130,3,0,1
131,6,0,3
132,0,0,6
133,2,0,3
134,4,0,1
135,2,0,3
136,3,4,3
137,0,4,3
138,0,0,0
139,2,4,0
140,5,0,0
141,0,0,6
142,2,0,3
143,3,0,2
144,2,0,6
145,4,0,3
146,0,0,0
147,5,0,0
148,1,0,3
149,3,4,0
150,2,0,0
151,10,4,3
152,1,4,2
153,0,0,0
154,1,0,0
155,0,4,0
156,3,0,0
157,1,4,0
158,1,0,0
159,3,0,3
160,1,4,3
161,7,0,3
162,9,0,1
163,3,0,6
164,1,4,3
165,7,0,0
166,2,0,6
167,1,0,0
168,6,0,3
169,1,0,0
170,4,0,3
171,9,0,3
172,1,0,0
173,3,0,0
174,5,0,2
175,0,0,0
176,5,4,3
177,3,0,1
178,4,0,0
179,1,4,3
180,2,0,3
181,1,0,0
182,0,0,0
183,1,4,3
184,4,0,1
185,3,0,3
186,0,0,0
187,4,0,0
188,9,0,3
189,3,0,0
190,3,0,3
191,5,0,0
192,8,0,3
193,0,0,0
194,3,4,1
195,5,0,3
196,4,0,0
197,1,4,0
198,5,0,0
199,2,0,0
200,2,0,1
201,3,0,0
202,3,0,3
203,1,0,0
204,3,0,6
205,1,0,3
206,3,0,3
207,0,0,4
208,1,0,3
209,0,0,0
210,6,0,0
211,4,0,3
212,3,1,1
213,8,0,6
214,0,4,0
215,0,0,0
216,4,4,1
217,3,0,3
218,0,2,0
219,3,0,1
220,0,4,3
221,3,0,0
222,9,0,3
223,4,0,3
224,10,0,3
225,0,0,0
226,6,0,4
227,0,0,3
228,2,4,1
229,2,0,4
230,2,0,0
231,1,0,0
232,1,0,3
233,8,4,3
234,2,0,3
235,7,0,4
236,1,0,0
237,0,4,0
238,6,0,3
239,2,0,0
240,7,0,3
241,3,0,3
242,3,4,3
243,5,0,0
244,0,0,0
245,4,0,3
246,0,4,0
247,2,0,3
248,1,0,1
249,2,0,0
250,4,4,3
251,3,4,6
252,1,0,3
253,4,4,1
254,8,4,3
255,5,0,3
256,3,0,0
257,1,0,3
258,2,4,3
259,9,0,3
260,7,0,3
261,4,0,4
262,3,0,3
263,3,0,1
264,2,4,0
265,4,0,3
266,4,4,3
267,6,2,0
268,0,0,3
269,1,0,0
270,2,4,1
271,2,4,3
272,2,0,3
273,2,0,6
274,6,0,3
275,2,0,0
276,1,0,0
277,1,0,3
278,1,0,0
279,2,4,0
280,1,0,3
281,4,0,3
282,0,4,3
283,5,0,3
284,7,0,0
285,3,0,3
286,6,4,3
287,1,0,3
288,4,4,3
289,2,0,3
290,4,0,0
291,1,4,3
292,0,4,0
293,1,0,0
294,0,0,0
295,1,0,1
296,6,0,3
297,3,4,3
298,7,0,4
299,5,0,3
300,7,0,4
301,3,4,3
302,2,2,1
303,1,4,3
304,2,0,0
305,2,4,0
306,6,0,3
307,3,0,0
308,3,1,0
309,2,4,3
310,4,4,1
311,9,0,3
312,1,0,0
313,0,4,0
314,9,0,0
315,2,0,3
316,5,0,1
317,4,4,3
318,1,4,0
319,0,0,6
320,2,4,3
321,0,0,0
322,2,0,3
323,5,0,3
324,4,0,0
325,5,0,0
326,2,0,3
327,3,4,3
328,4,0,3
329,1,0,0
330,4,0,1
331,0,0,6
332,2,4,3
333,5,0,1
334,1,0,0
335,2,0,0
336,4,0,3
337,6,0,3
338,4,0,1
339,2,0,3
340,5,0,3
341,2,4,3
342,0,0,0
343,10,0,3
344,7,0,1
345,0,0,6
346,3,0,3
347,8,0,1
348,4,0,0
349,0,4,0
350,0,0,6
351,0,0,0
352,2,0,3
353,1,0,6
354,3,0,0
355,3,0,3
356,3,0,3
357,5,0,3
358,4,0,1
359,2,0,0
360,1,0,3
361,2,4,0
362,1,0,3
363,8,0,3
364,4,0,0
365,0,0,0
366,2,4,0
367,0,4,3
368,2,0,0
369,2,0,0
370,4,0,0
371,0,0,0
372,2,0,3
373,7,0,3
374,4,0,0
375,6,0,3
376,2,4,0
377,9,0,3
378,2,0,3
379,9,0,0
380,1,0,0
381,2,0,1
382,1,0,3
383,2,4,0
384,0,4,6
385,4,0,0
386,0,0,0
387,6,0,3
388,2,4,3
389,0,2,0
390,5,0,3
391,2,0,3
392,7,0,3
393,2,0,0
394,4,0,3
395,7,4,5
396,0,0,3
397,7,0,0
398,7,0,0
399,0,0,6
400,4,0,1
401,0,0,0
402,5,0,3
403,1,4,3
404,4,4,1
405,2,4,3
406,2,0,0
407,2,0,3
408,0,4,3
409,5,0,3
410,3,0,0
411,8,4,1
412,2,0,0
413,1,0,3
414,1,0,0
415,2,0,0
416,6,4,5
417,3,0,0
418,3,0,0
419,3,0,0
420,2,0,6
421,2,4,0
422,1,0,0
423,5,2,0
424,4,0,0
425,2,0,3
426,6,0,0
427,0,4,6
