time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops,days_before_purchase
2022-11-04 15:54:13,LAX-SAT-2022-11-11-2022-11-13,LAX,SAT,11/11/2022,11/13/2022,638,2022-11-11 08:21:00,173,0,2022-11-13 07:29:00,203,0,6
2022-11-04 15:56:09,LAX-SAT-2022-11-25-2022-11-27,LAX,SAT,11/25/2022,11/27/2022,581,2022-11-25 08:21:00,173,0,2022-11-27 08:25:00,318,1,20
2022-11-04 15:57:19,LAX-SAT-2022-12-02-2022-12-04,LAX,SAT,12/02/2022,12/04/2022,402,2022-12-02 07:45:00,169,0,2022-12-04 07:50:00,203,0,27
2022-11-04 15:58:29,LAX-SAT-2022-12-09-2022-12-11,LAX,SAT,12/09/2022,12/11/2022,402,2022-12-09 07:45:00,169,0,2022-12-11 07:50:00,203,0,34
2022-11-04 15:59:39,LAX-SAT-2022-12-16-2022-12-18,LAX,SAT,12/16/2022,12/18/2022,402,2022-12-16 18:20:00,166,0,2022-12-18 08:10:00,208,0,41
2022-11-04 16:00:56,LAX-SAT-2022-12-23-2022-12-25,LAX,SAT,12/23/2022,12/25/2022,420,2022-12-23 18:20:00,166,0,2022-12-25 08:10:00,208,0,48
2022-11-04 16:02:13,LAX-SAT-2022-12-30-2023-01-01,LAX,SAT,12/30/2022,01/01/2023,454,2022-12-30 18:20:00,166,0,2023-01-01 10:45:00,208,0,55
2022-11-04 16:03:26,LAX-SAT-2023-01-06-2023-01-08,LAX,SAT,01/06/2023,01/08/2023,402,2023-01-06 08:40:00,184,0,2023-01-08 08:10:00,208,0,62
2022-11-04 16:04:48,LAX-SAT-2023-01-13-2023-01-15,LAX,SAT,01/13/2023,01/15/2023,402,2023-01-13 08:40:00,185,0,2023-01-15 07:05:00,196,0,69
2022-11-04 16:06:11,LAX-SAT-2023-01-20-2023-01-22,LAX,SAT,01/20/2023,01/22/2023,402,2023-01-20 08:40:00,185,0,2023-01-22 07:05:00,196,0,76
2022-11-04 16:07:25,LAX-SAT-2023-01-27-2023-01-29,LAX,SAT,01/27/2023,01/29/2023,402,2023-01-27 18:48:00,162,0,2023-01-29 07:05:00,196,0,83
2022-11-04 16:08:33,LAX-SAT-2023-02-03-2023-02-05,LAX,SAT,02/03/2023,02/05/2023,402,2023-02-03 08:40:00,185,0,2023-02-05 07:30:00,197,0,90
2022-11-04 16:09:49,LAX-SAT-2023-02-10-2023-02-12,LAX,SAT,02/10/2023,02/12/2023,402,2023-02-10 08:40:00,185,0,2023-02-12 07:30:00,197,0,97
2022-11-04 16:11:00,LAX-SAT-2023-02-17-2023-02-19,LAX,SAT,02/17/2023,02/19/2023,437,2023-02-17 08:40:00,185,0,2023-02-19 07:30:00,197,0,104
2022-11-04 16:12:07,LAX-SAT-2023-02-24-2023-02-26,LAX,SAT,02/24/2023,02/26/2023,422,2023-02-24 18:05:00,175,0,2023-02-26 07:30:00,205,0,111
2022-11-04 16:13:21,LAX-SAT-2023-03-03-2023-03-05,LAX,SAT,03/03/2023,03/05/2023,422,2023-03-03 18:05:00,175,0,2023-03-05 07:30:00,205,0,118
