timestamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops
2022-06-27 19:28:16,BOS-SNA-07/02/2022-07/07/2022,BOS,SNA,07/02/2022,07/07/2022,536.00,07-02-2022 17:00:00,443,1,07-07-2022 13:11:00,462,1
2022-06-27 19:29:15,BOS-SNA-07/09/2022-07/14/2022,BOS,SNA,07/09/2022,07/14/2022,773.00,07-09-2022 06:44:00,482,1,07-14-2022 16:44:00,610,1
2022-06-27 19:30:13,BOS-SNA-07/16/2022-07/21/2022,BOS,SNA,07/16/2022,07/21/2022,902.00,07-16-2022 09:47:00,512,1,07-21-2022 16:44:00,610,1
2022-06-27 19:31:12,BOS-SNA-07/23/2022-07/28/2022,BOS,SNA,07/23/2022,07/28/2022,894.00,07-23-2022 06:44:00,695,1,07-28-2022 16:44:00,610,1
2022-06-27 19:32:09,BOS-SNA-07/30/2022-08/04/2022,BOS,SNA,07/30/2022,08/04/2022,894.00,07-30-2022 06:44:00,695,1,08-04-2022 16:44:00,610,1
2022-06-27 19:33:09,BOS-SNA-08/06/2022-08/11/2022,BOS,SNA,08/06/2022,08/11/2022,824.00,08-06-2022 06:44:00,695,1,08-11-2022 16:44:00,610,1
2022-06-27 19:34:07,BOS-SNA-08/13/2022-08/18/2022,BOS,SNA,08/13/2022,08/18/2022,894.00,08-13-2022 06:44:00,695,1,08-18-2022 16:44:00,603,1
2022-06-27 19:35:05,BOS-SNA-08/20/2022-08/25/2022,BOS,SNA,08/20/2022,08/25/2022,709.00,08-20-2022 16:54:00,460,1,08-25-2022 16:44:00,603,1
2022-06-27 19:36:05,BOS-SNA-08/27/2022-09/01/2022,BOS,SNA,08/27/2022,09/01/2022,639.00,08-27-2022 06:40:00,492,1,09-01-2022 12:42:00,485,1
2022-06-27 19:37:05,BOS-SNA-09/03/2022-09/08/2022,BOS,SNA,09/03/2022,09/08/2022,560.00,09-03-2022 06:40:00,492,1,09-08-2022 16:44:00,573,1
2022-06-27 19:38:07,BOS-SNA-09/10/2022-09/15/2022,BOS,SNA,09/10/2022,09/15/2022,507.00,09-10-2022 05:30:00,496,1,09-15-2022 12:19:00,508,1
2022-06-27 19:39:08,BOS-SNA-09/17/2022-09/22/2022,BOS,SNA,09/17/2022,09/22/2022,549.00,09-17-2022 05:30:00,496,1,09-22-2022 12:19:00,508,1
2022-06-27 19:40:08,BOS-SNA-09/24/2022-09/29/2022,BOS,SNA,09/24/2022,09/29/2022,549.00,09-24-2022 05:30:00,496,1,09-29-2022 12:19:00,508,1
2022-06-27 19:41:06,BOS-SNA-10/01/2022-10/06/2022,BOS,SNA,10/01/2022,10/06/2022,517.00,10-01-2022 05:30:00,496,1,10-06-2022 12:42:00,482,1
2022-06-27 19:42:06,BOS-SNA-10/08/2022-10/13/2022,BOS,SNA,10/08/2022,10/13/2022,612.00,10-08-2022 05:30:00,501,1,10-13-2022 12:29:00,497,1
2022-06-27 19:43:04,BOS-SNA-10/15/2022-10/20/2022,BOS,SNA,10/15/2022,10/20/2022,662.00,10-15-2022 05:30:00,501,1,10-20-2022 12:29:00,854,1
2022-06-27 19:44:02,BOS-SNA-10/22/2022-10/27/2022,BOS,SNA,10/22/2022,10/27/2022,497.00,10-22-2022 15:27:00,525,1,10-27-2022 13:31:00,448,1
2022-06-27 19:45:00,BOS-SNA-10/29/2022-11/03/2022,BOS,SNA,10/29/2022,11/03/2022,497.00,10-29-2022 05:30:00,501,1,11-03-2022 12:54:00,411,1
2022-06-27 19:45:57,BOS-SNA-11/05/2022-11/10/2022,BOS,SNA,11/05/2022,11/10/2022,497.00,11-05-2022 10:00:00,469,1,11-10-2022 12:54:00,411,1
2022-06-27 19:46:55,BOS-SNA-11/12/2022-11/17/2022,BOS,SNA,11/12/2022,11/17/2022,527.00,11-12-2022 05:46:00,475,1,11-17-2022 12:54:00,411,1
2022-06-27 19:47:54,BOS-SNA-11/19/2022-11/24/2022,BOS,SNA,11/19/2022,11/24/2022,567.00,11-19-2022 10:00:00,469,1,11-24-2022 12:54:00,411,1
2022-06-27 19:48:52,BOS-SNA-11/26/2022-12/01/2022,BOS,SNA,11/26/2022,12/01/2022,781.00,11-26-2022 06:00:00,489,1,12-01-2022 12:54:00,411,1
2022-06-27 19:50:40,BOS-SNA-12/10/2022-12/15/2022,BOS,SNA,12/10/2022,12/15/2022,517.00,12-10-2022 09:01:00,492,1,12-15-2022 12:54:00,411,1
2022-06-27 19:51:40,BOS-SNA-12/17/2022-12/22/2022,BOS,SNA,12/17/2022,12/22/2022,752.00,12-17-2022 10:00:00,469,1,12-22-2022 06:50:00,427,1
2022-06-27 19:52:38,BOS-SNA-12/24/2022-12/29/2022,BOS,SNA,12/24/2022,12/29/2022,600.00,12-24-2022 16:14:00,524,1,12-29-2022 09:55:00,425,1
2022-06-27 19:53:37,BOS-SNA-12/31/2022-01/05/2023,BOS,SNA,12/31/2022,01/05/2023,537.00,12-31-2022 06:00:00,489,1,01-05-2023 19:40:00,436,1
