time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops,days_before_purchase
2022-07-09 09:15:20,SNA-PHX-07/14/2022-07/18/2022,SNA,PHX,07/14/2022,07/18/2022,264,2022-07-14 13:11:00,79,0,2022-07-18 14:00:00,79,0,4
2022-07-09 09:16:12,SNA-PHX-07/21/2022-07/25/2022,SNA,PHX,07/21/2022,07/25/2022,279,2022-07-21 13:11:00,79,0,2022-07-25 10:18:00,88,0,11
2022-07-09 09:17:03,SNA-PHX-07/28/2022-08/01/2022,SNA,PHX,07/28/2022,08/01/2022,258,2022-07-28 13:11:00,79,0,2022-08-01 10:18:00,88,0,18
2022-07-09 09:17:54,SNA-PHX-08/04/2022-08/08/2022,SNA,PHX,08/04/2022,08/08/2022,260,2022-08-04 13:06:00,79,0,2022-08-08 17:40:00,78,0,25
2022-07-09 09:18:49,SNA-PHX-08/11/2022-08/15/2022,SNA,PHX,08/11/2022,08/15/2022,260,2022-08-11 16:44:00,84,0,2022-08-15 10:18:00,88,0,32
2022-07-09 09:19:40,SNA-PHX-08/18/2022-08/22/2022,SNA,PHX,08/18/2022,08/22/2022,228,2022-08-18 12:42:00,76,0,2022-08-22 14:02:00,78,0,39
2022-07-09 09:23:29,SNA-PHX-09/22/2022-09/26/2022,SNA,PHX,09/22/2022,09/26/2022,228,2022-09-22 12:19:00,87,0,2022-09-26 14:02:00,78,0,74
2022-07-09 09:24:23,SNA-PHX-09/29/2022-10/03/2022,SNA,PHX,09/29/2022,10/03/2022,268,2022-09-29 12:19:00,87,0,2022-10-03 16:45:00,78,0,81
2022-07-09 09:25:14,SNA-PHX-10/06/2022-10/10/2022,SNA,PHX,10/06/2022,10/10/2022,318,2022-10-06 12:29:00,82,0,2022-10-10 10:16:00,83,0,88
2022-07-09 09:26:59,SNA-PHX-10/20/2022-10/24/2022,SNA,PHX,10/20/2022,10/24/2022,278,2022-10-20 12:29:00,82,0,2022-10-24 16:45:00,81,0,102
2022-07-09 09:27:58,SNA-PHX-10/27/2022-10/31/2022,SNA,PHX,10/27/2022,10/31/2022,238,2022-10-27 12:29:00,82,0,2022-10-31 20:05:00,82,0,109
2022-07-09 09:28:52,SNA-PHX-11/03/2022-11/07/2022,SNA,PHX,11/03/2022,11/07/2022,278,2022-11-03 12:54:00,81,0,2022-11-07 08:20:00,83,0,116
2022-07-09 09:29:44,SNA-PHX-11/10/2022-11/14/2022,SNA,PHX,11/10/2022,11/14/2022,278,2022-11-10 12:54:00,81,0,2022-11-14 10:50:00,79,0,123
2022-07-09 09:30:38,SNA-PHX-11/17/2022-11/21/2022,SNA,PHX,11/17/2022,11/21/2022,427,2022-10-14 09:34:00,81,0,2022-11-21 10:50:00,79,0,130
2022-07-09 09:35:52,SNA-PHX-01/05/2023-01/09/2023,SNA,PHX,01/05/2023,01/09/2023,260,2023-01-05 12:54:00,81,0,2023-01-09 10:50:00,79,0,179
2022-07-09 09:36:45,SNA-PHX-01/12/2023-01/16/2023,SNA,PHX,01/12/2023,01/16/2023,380,2023-01-12 12:54:00,81,0,2023-01-16 10:50:00,79,0,186
2022-07-09 09:37:48,LAX-ORD-07/14/2022-07/18/2022,LAX,ORD,07/14/2022,07/18/2022,656,2022-07-14 13:20:00,256,0,2022-07-18 07:19:00,262,0,4
2022-07-09 09:40:16,LAX-ORD-08/04/2022-08/08/2022,LAX,ORD,08/04/2022,08/08/2022,558,2022-08-04 17:50:00,248,0,2022-08-08 19:29:00,254,0,25
2022-07-09 09:41:21,LAX-ORD-08/11/2022-08/15/2022,LAX,ORD,08/11/2022,08/15/2022,524,2022-08-11 16:35:00,248,0,2022-08-15 06:54:00,441,1,32
2022-07-09 09:42:21,LAX-ORD-08/18/2022-08/22/2022,LAX,ORD,08/18/2022,08/22/2022,515,2022-08-18 17:50:00,242,0,2022-08-22 18:16:00,266,0,39
2022-07-09 09:44:03,LAX-ORD-09/01/2022-09/05/2022,LAX,ORD,09/01/2022,09/05/2022,593,2022-09-01 08:20:00,350,1,2022-09-05 08:45:00,352,1,53
2022-07-09 09:45:02,LAX-ORD-09/08/2022-09/12/2022,LAX,ORD,09/08/2022,09/12/2022,442,2022-09-08 16:51:00,245,0,2022-09-12 20:31:00,264,0,60
2022-07-09 09:46:04,LAX-ORD-09/15/2022-09/19/2022,LAX,ORD,09/15/2022,09/19/2022,472,2022-09-15 16:51:00,245,0,2022-09-19 07:15:00,257,0,67
