time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops,days_before_purchase
2022-07-09 11:30:55,SFO-IAD-07/14/2022-07/18/2022,SFO,IAD,07/14/2022,07/18/2022,920,2022-07-14 05:35:00,495,1,2022-07-18 17:30:00,483,1,4
2022-07-09 11:31:57,SFO-IAD-07/21/2022-07/25/2022,SFO,IAD,07/21/2022,07/25/2022,968,2022-07-21 13:29:00,471,1,2022-07-25 16:10:00,355,0,11
2022-07-09 11:32:52,SFO-IAD-07/28/2022-08/01/2022,SFO,IAD,07/28/2022,08/01/2022,896,2022-07-28 13:29:00,471,1,2022-08-01 16:10:00,355,0,18
2022-07-09 11:33:51,SFO-IAD-08/04/2022-08/08/2022,SFO,IAD,08/04/2022,08/08/2022,838,2022-08-04 07:00:00,310,0,2022-08-08 16:10:00,355,0,25
2022-07-09 11:34:47,SFO-IAD-08/11/2022-08/15/2022,SFO,IAD,08/11/2022,08/15/2022,718,2022-08-11 07:00:00,310,0,2022-08-15 16:10:00,355,0,32
2022-07-09 11:35:42,SFO-IAD-08/18/2022-08/22/2022,SFO,IAD,08/18/2022,08/22/2022,545,2022-08-18 07:00:00,310,0,2022-08-22 17:30:00,497,1,39
2022-07-09 11:36:36,SFO-IAD-08/25/2022-08/29/2022,SFO,IAD,08/25/2022,08/29/2022,597,2022-08-25 13:32:00,461,1,2022-08-29 16:10:00,355,0,46
2022-07-09 11:37:34,SFO-IAD-09/01/2022-09/05/2022,SFO,IAD,09/01/2022,09/05/2022,788,2022-09-01 07:00:00,310,0,2022-09-05 16:10:00,355,0,53
2022-07-09 11:38:26,SFO-IAD-09/08/2022-09/12/2022,SFO,IAD,09/08/2022,09/12/2022,433,2022-09-08 13:41:00,431,1,2022-09-12 13:35:00,623,1,60
2022-07-09 11:39:25,SFO-IAD-09/15/2022-09/19/2022,SFO,IAD,09/15/2022,09/19/2022,433,2022-09-15 05:20:00,510,1,2022-09-19 13:35:00,623,1,67
2022-07-09 11:40:21,SFO-IAD-09/22/2022-09/26/2022,SFO,IAD,09/22/2022,09/26/2022,473,2022-09-22 13:41:00,431,1,2022-09-26 13:35:00,623,1,74
2022-07-09 11:41:22,SFO-IAD-09/29/2022-10/03/2022,SFO,IAD,09/29/2022,10/03/2022,498,2022-09-29 07:00:00,300,0,2022-10-03 16:00:00,349,0,81
2022-07-09 11:42:15,SFO-IAD-10/06/2022-10/10/2022,SFO,IAD,10/06/2022,10/10/2022,565,2022-10-06 13:47:00,422,1,2022-10-10 16:05:00,360,0,88
2022-07-09 11:43:17,SFO-IAD-10/13/2022-10/17/2022,SFO,IAD,10/13/2022,10/17/2022,498,2022-10-13 07:00:00,300,0,2022-10-17 16:05:00,360,0,95
2022-07-09 11:44:10,SFO-IAD-10/20/2022-10/24/2022,SFO,IAD,10/20/2022,10/24/2022,517,2022-10-20 23:40:00,459,1,2022-10-24 16:05:00,360,0,102
2022-07-09 11:45:10,SFO-IAD-10/27/2022-10/31/2022,SFO,IAD,10/27/2022,10/31/2022,498,2022-10-27 07:00:00,300,0,2022-10-31 16:05:00,360,0,109
2022-07-09 11:46:05,SFO-IAD-11/03/2022-11/07/2022,SFO,IAD,11/03/2022,11/07/2022,498,2022-11-03 07:00:00,300,0,2022-11-07 16:05:00,360,0,116
2022-07-09 11:46:58,SFO-IAD-11/10/2022-11/14/2022,SFO,IAD,11/10/2022,11/14/2022,498,2022-11-10 07:00:00,300,0,2022-11-14 16:05:00,360,0,123
2022-07-09 11:47:52,SFO-IAD-11/17/2022-11/21/2022,SFO,IAD,11/17/2022,11/21/2022,575,2022-11-17 11:30:00,543,1,2022-11-21 16:05:00,368,0,130
2022-07-09 11:49:05,SFO-IAD-11/24/2022-11/28/2022,SFO,IAD,11/24/2022,11/28/2022,667,2022-11-24 08:14:00,418,1,2022-11-28 16:05:00,368,0,137
2022-07-09 11:50:04,SFO-IAD-12/01/2022-12/05/2022,SFO,IAD,12/01/2022,12/05/2022,498,2022-12-01 07:00:00,301,0,2022-12-05 16:05:00,368,0,144
2022-07-09 11:50:58,SFO-IAD-12/08/2022-12/12/2022,SFO,IAD,12/08/2022,12/12/2022,467,2022-12-08 07:00:00,301,0,2022-12-12 19:06:00,495,1,151
2022-07-09 11:51:53,SFO-IAD-12/15/2022-12/19/2022,SFO,IAD,12/15/2022,12/19/2022,675,2022-12-15 11:30:00,543,1,2022-12-19 16:05:00,368,0,158
2022-07-09 11:52:52,SFO-IAD-12/22/2022-12/26/2022,SFO,IAD,12/22/2022,12/26/2022,836,2022-12-22 23:55:00,459,1,2022-12-26 16:05:00,368,0,165
2022-07-09 11:54:44,SFO-IAD-01/05/2023-01/09/2023,SFO,IAD,01/05/2023,01/09/2023,465,2023-01-05 23:55:00,459,1,2023-01-09 16:05:00,368,0,179
