time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops,days_before_purchase
2022-07-09 13:25:04,SJC-MSY-07/14/2022-07/18/2022,SJC,MSY,07/14/2022,07/18/2022,784,2022-07-14 06:10:00,414,1,2022-07-18 06:00:00,420,1,4
2022-07-09 13:26:08,SJC-MSY-07/21/2022-07/25/2022,SJC,MSY,07/21/2022,07/25/2022,866,2022-07-21 06:10:00,414,1,2022-07-25 06:00:00,710,2,11
2022-07-09 13:27:04,SJC-MSY-07/28/2022-08/01/2022,SJC,MSY,07/28/2022,08/01/2022,870,2022-07-28 13:55:00,431,1,2022-08-01 15:55:00,385,1,18
2022-07-09 13:28:06,SJC-MSY-08/04/2022-08/08/2022,SJC,MSY,08/04/2022,08/08/2022,819,2022-08-04 12:37:00,484,2,2022-08-08 06:00:00,710,2,25
2022-07-09 13:29:09,SJC-MSY-08/11/2022-08/15/2022,SJC,MSY,08/11/2022,08/15/2022,846,2022-08-11 06:10:00,652,1,2022-08-15 10:45:00,586,2,32
2022-07-09 13:30:12,SJC-MSY-08/18/2022-08/22/2022,SJC,MSY,08/18/2022,08/22/2022,716,2022-08-18 09:15:00,685,2,2022-08-22 10:45:00,595,2,39
2022-07-09 13:31:17,SJC-MSY-08/25/2022-08/29/2022,SJC,MSY,08/25/2022,08/29/2022,661,2022-08-25 09:15:00,685,2,2022-08-29 10:45:00,595,2,46
2022-07-09 13:32:21,SJC-MSY-09/01/2022-09/05/2022,SJC,MSY,09/01/2022,09/05/2022,892,2022-09-01 09:15:00,685,2,2022-09-05 06:00:00,415,1,53
2022-07-09 13:33:24,SJC-MSY-09/08/2022-09/12/2022,SJC,MSY,09/08/2022,09/12/2022,617,2022-09-08 06:10:00,433,1,2022-09-12 07:00:00,378,1,60
2022-07-09 13:34:27,SJC-MSY-09/15/2022-09/19/2022,SJC,MSY,09/15/2022,09/19/2022,691,2022-09-15 06:10:00,433,1,2022-09-19 12:43:00,590,1,67
2022-07-09 13:35:31,SJC-MSY-09/22/2022-09/26/2022,SJC,MSY,09/22/2022,09/26/2022,759,2022-09-22 06:10:00,551,1,2022-09-26 16:15:00,378,1,74
2022-07-09 13:36:36,SJC-MSY-09/29/2022-10/03/2022,SJC,MSY,09/29/2022,10/03/2022,753,2022-09-29 06:10:00,551,1,2022-10-03 11:29:00,664,1,81
2022-07-09 13:37:39,SJC-MSY-10/06/2022-10/10/2022,SJC,MSY,10/06/2022,10/10/2022,668,2022-10-06 12:06:00,434,1,2022-10-10 07:15:00,500,1,88
2022-07-09 13:38:37,SJC-MSY-10/13/2022-10/17/2022,SJC,MSY,10/13/2022,10/17/2022,787,2022-10-13 12:06:00,509,1,2022-10-17 07:15:00,500,1,95
2022-07-09 13:39:40,SJC-MSY-10/20/2022-10/24/2022,SJC,MSY,10/20/2022,10/24/2022,978,2022-10-20 12:06:00,434,1,2022-10-24 06:00:00,575,1,102
2022-07-09 13:40:42,SJC-MSY-10/27/2022-10/31/2022,SJC,MSY,10/27/2022,10/31/2022,781,2022-10-27 06:10:00,492,2,2022-10-31 14:36:00,567,1,109
2022-07-09 13:41:46,SJC-MSY-11/03/2022-11/07/2022,SJC,MSY,11/03/2022,11/07/2022,628,2022-11-03 12:20:00,363,1,2022-11-07 14:36:00,567,1,116
2022-07-09 13:42:47,SJC-MSY-11/10/2022-11/14/2022,SJC,MSY,11/10/2022,11/14/2022,628,2022-11-10 06:00:00,351,1,2022-11-14 14:36:00,567,1,123
2022-07-09 13:44:03,SJC-MSY-11/17/2022-11/21/2022,SJC,MSY,11/17/2022,11/21/2022,559,2022-11-17 14:22:00,341,1,2022-11-21 06:00:00,380,1,130
2022-07-09 13:45:07,SJC-MSY-11/24/2022-11/28/2022,SJC,MSY,11/24/2022,11/28/2022,737,2022-11-24 14:22:00,341,1,2022-11-28 06:00:00,380,1,137
2022-07-09 13:46:11,SJC-MSY-12/01/2022-12/05/2022,SJC,MSY,12/01/2022,12/05/2022,497,2022-12-01 06:00:00,351,1,2022-12-05 14:36:00,567,1,144
2022-07-09 13:47:13,SJC-MSY-12/08/2022-12/12/2022,SJC,MSY,12/08/2022,12/12/2022,497,2022-12-08 06:00:00,351,1,2022-12-12 14:36:00,567,1,151
2022-07-09 13:48:16,SJC-MSY-12/15/2022-12/19/2022,SJC,MSY,12/15/2022,12/19/2022,856,2022-12-15 14:22:00,341,1,2022-12-19 14:08:00,620,1,158
2022-07-09 13:49:18,SJC-MSY-12/22/2022-12/26/2022,SJC,MSY,12/22/2022,12/26/2022,1160,2022-12-22 12:20:00,363,1,2022-12-26 06:00:00,380,1,165
2022-07-09 13:50:19,SJC-MSY-12/29/2022-01/02/2023,SJC,MSY,12/29/2022,01/02/2023,1050,2022-12-29 14:22:00,341,1,2023-01-02 06:00:00,380,1,172
2022-07-09 13:51:21,SJC-MSY-01/05/2023-01/09/2023,SJC,MSY,01/05/2023,01/09/2023,534,2023-01-05 14:22:00,341,1,2023-01-09 14:36:00,567,1,179
2022-07-09 13:52:20,SJC-MSY-01/12/2023-01/16/2023,SJC,MSY,01/12/2023,01/16/2023,904,2023-01-12 12:37:00,446,2,2023-01-16 14:36:00,567,1,186
