time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops,days_before_purchase
2022-07-09 13:55:59,LAX-MUC-07/15/2022-07/19/2022,LAX,MUC,07/15/2022,07/19/2022,2362,2022-07-15 07:35:00,865,1,2022-07-19 09:15:00,985,1,5
2022-07-09 13:57:01,LAX-MUC-07/22/2022-07/26/2022,LAX,MUC,07/22/2022,07/26/2022,3007,2022-07-22 07:35:00,865,1,2022-07-26 09:15:00,985,1,12
2022-07-09 13:58:06,LAX-MUC-07/29/2022-08/02/2022,LAX,MUC,07/29/2022,08/02/2022,2852,2022-07-29 07:35:00,865,1,2022-08-02 09:15:00,985,1,19
2022-07-09 13:59:11,LAX-MUC-08/05/2022-08/09/2022,LAX,MUC,08/05/2022,08/09/2022,2174,2022-08-05 07:35:00,865,1,2022-08-09 07:15:00,885,1,26
2022-07-09 14:00:16,LAX-MUC-08/12/2022-08/16/2022,LAX,MUC,08/12/2022,08/16/2022,1902,2022-08-12 07:35:00,865,1,2022-08-16 09:15:00,1337,1,33
2022-07-09 14:01:20,LAX-MUC-08/19/2022-08/23/2022,LAX,MUC,08/19/2022,08/23/2022,1902,2022-08-19 07:30:00,870,1,2022-08-23 09:15:00,987,1,40
2022-07-09 14:02:27,LAX-MUC-08/26/2022-08/30/2022,LAX,MUC,08/26/2022,08/30/2022,1902,2022-08-26 07:30:00,870,1,2022-08-30 09:15:00,987,1,47
2022-07-09 14:03:27,LAX-MUC-09/02/2022-09/06/2022,LAX,MUC,09/02/2022,09/06/2022,1902,2022-09-02 07:30:00,870,1,2022-09-06 09:15:00,987,1,54
2022-07-09 14:04:34,LAX-MUC-09/09/2022-09/13/2022,LAX,MUC,09/09/2022,09/13/2022,1697,2022-09-09 07:27:00,873,1,2022-09-13 09:15:00,985,1,61
2022-07-09 14:05:41,LAX-MUC-09/16/2022-09/20/2022,LAX,MUC,09/16/2022,09/20/2022,1542,2022-09-16 07:27:00,873,1,2022-09-20 09:15:00,985,1,68
2022-07-09 14:06:48,LAX-MUC-09/23/2022-09/27/2022,LAX,MUC,09/23/2022,09/27/2022,1542,2022-09-23 07:27:00,873,1,2022-09-27 09:15:00,985,1,75
2022-07-09 14:07:52,LAX-MUC-09/30/2022-10/04/2022,LAX,MUC,09/30/2022,10/04/2022,1542,2022-09-30 07:27:00,873,1,2022-10-04 09:15:00,985,1,82
2022-07-09 14:08:56,LAX-MUC-10/07/2022-10/11/2022,LAX,MUC,10/07/2022,10/11/2022,1542,2022-10-07 07:20:00,880,1,2022-10-11 09:15:00,1001,1,89
2022-07-09 14:10:01,LAX-MUC-10/14/2022-10/18/2022,LAX,MUC,10/14/2022,10/18/2022,1542,2022-10-14 07:20:00,880,1,2022-10-18 09:15:00,1001,1,96
2022-07-09 14:11:11,LAX-MUC-10/21/2022-10/25/2022,LAX,MUC,10/21/2022,10/25/2022,1542,2022-10-21 07:20:00,880,1,2022-10-25 09:15:00,1001,1,103
2022-07-09 14:12:20,LAX-MUC-10/28/2022-11/01/2022,LAX,MUC,10/28/2022,11/01/2022,1342,2022-10-28 07:20:00,880,1,2022-11-01 09:30:00,1045,1,110
2022-07-09 14:13:27,LAX-MUC-11/04/2022-11/08/2022,LAX,MUC,11/04/2022,11/08/2022,1342,2022-11-04 08:10:00,860,1,2022-11-08 09:30:00,1105,1,117
2022-07-09 14:14:33,LAX-MUC-11/11/2022-11/15/2022,LAX,MUC,11/11/2022,11/15/2022,1501,2022-11-11 06:00:00,930,1,2022-11-15 09:30:00,1285,2,124
2022-07-09 14:15:41,LAX-MUC-11/18/2022-11/22/2022,LAX,MUC,11/18/2022,11/22/2022,1442,2022-11-18 06:00:00,930,1,2022-11-22 09:30:00,1105,1,131
2022-07-09 14:16:46,LAX-MUC-11/25/2022-11/29/2022,LAX,MUC,11/25/2022,11/29/2022,1342,2022-11-25 06:00:00,930,1,2022-11-29 09:30:00,1105,1,138
2022-07-09 14:18:36,LAX-MUC-12/09/2022-12/13/2022,LAX,MUC,12/09/2022,12/13/2022,1342,2022-12-09 06:00:00,930,1,2022-12-13 09:30:00,1105,1,152
2022-07-09 14:19:46,LAX-MUC-12/16/2022-12/20/2022,LAX,MUC,12/16/2022,12/20/2022,1596,2022-12-16 06:00:00,930,1,2022-12-20 09:30:00,1190,2,159
2022-07-09 14:20:47,LAX-MUC-12/23/2022-12/27/2022,LAX,MUC,12/23/2022,12/27/2022,1814,2022-12-23 06:00:00,930,1,2022-12-27 07:40:00,870,1,166
2022-07-09 14:21:53,LAX-MUC-12/30/2022-01/03/2023,LAX,MUC,12/30/2022,01/03/2023,1722,2022-12-30 06:00:00,930,1,2023-01-03 09:30:00,1105,1,173
2022-07-09 14:23:05,LAX-MUC-01/06/2023-01/10/2023,LAX,MUC,01/06/2023,01/10/2023,1342,2023-01-06 06:00:00,930,1,2023-01-10 09:30:00,1105,1,180
2022-07-09 14:24:11,LAX-MUC-01/13/2023-01/17/2023,LAX,MUC,01/13/2023,01/17/2023,1342,2023-01-13 06:00:00,930,1,2023-01-17 09:30:00,1105,1,187
