time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops,days_before_purchase
2022-07-10 09:37:20,SNA-PHX-07/14/2022-07/18/2022,SNA,PHX,07/14/2022,07/18/2022,264,2022-07-14 13:11:00,79,0,2022-07-18 17:42:00,78,0,3
2022-07-10 09:38:11,SNA-PHX-07/21/2022-07/25/2022,SNA,PHX,07/21/2022,07/25/2022,268,2022-07-21 13:11:00,79,0,2022-07-25 14:00:00,79,0,10
2022-07-10 09:39:05,SNA-PHX-07/28/2022-08/01/2022,SNA,PHX,07/28/2022,08/01/2022,279,2022-07-28 13:11:00,79,0,2022-08-01 10:18:00,88,0,17
2022-07-10 09:39:58,SNA-PHX-08/04/2022-08/08/2022,SNA,PHX,08/04/2022,08/08/2022,239,2022-08-04 13:06:00,79,0,2022-08-08 14:00:00,79,0,24
2022-07-10 09:40:50,SNA-PHX-08/11/2022-08/15/2022,SNA,PHX,08/11/2022,08/15/2022,260,2022-08-11 16:44:00,84,0,2022-08-15 10:18:00,88,0,31
2022-07-10 09:41:44,SNA-PHX-08/18/2022-08/22/2022,SNA,PHX,08/18/2022,08/22/2022,228,2022-08-18 12:42:00,76,0,2022-08-22 14:02:00,78,0,38
2022-07-10 09:43:19,SNA-PHX-09/01/2022-09/05/2022,SNA,PHX,09/01/2022,09/05/2022,338,2022-09-01 12:42:00,76,0,2022-09-05 10:25:00,87,0,52
2022-07-10 09:44:09,SNA-PHX-09/08/2022-09/12/2022,SNA,PHX,09/08/2022,09/12/2022,279,2022-09-08 12:19:00,87,0,2022-09-12 14:02:00,78,0,59
2022-07-10 09:45:00,SNA-PHX-09/15/2022-09/19/2022,SNA,PHX,09/15/2022,09/19/2022,258,2022-09-15 12:19:00,87,0,2022-09-19 14:02:00,78,0,66
2022-07-10 09:45:54,SNA-PHX-09/22/2022-09/26/2022,SNA,PHX,09/22/2022,09/26/2022,228,2022-09-22 12:19:00,87,0,2022-09-26 14:02:00,78,0,73
2022-07-10 09:47:35,SNA-PHX-10/06/2022-10/10/2022,SNA,PHX,10/06/2022,10/10/2022,318,2022-10-06 12:29:00,82,0,2022-10-10 10:16:00,83,0,87
2022-07-10 09:48:25,SNA-PHX-10/13/2022-10/17/2022,SNA,PHX,10/13/2022,10/17/2022,278,2022-10-13 12:29:00,82,0,2022-10-17 14:02:00,79,0,94
2022-07-10 09:49:16,SNA-PHX-10/20/2022-10/24/2022,SNA,PHX,10/20/2022,10/24/2022,278,2022-10-20 12:29:00,82,0,2022-10-24 16:45:00,81,0,101
2022-07-10 09:50:08,SNA-PHX-10/27/2022-10/31/2022,SNA,PHX,10/27/2022,10/31/2022,238,2022-10-27 12:29:00,82,0,2022-10-31 20:05:00,82,0,108
2022-07-10 09:51:00,SNA-PHX-11/03/2022-11/07/2022,SNA,PHX,11/03/2022,11/07/2022,278,2022-11-03 12:54:00,81,0,2022-11-07 08:20:00,83,0,115
2022-07-10 09:51:53,SNA-PHX-11/10/2022-11/14/2022,SNA,PHX,11/10/2022,11/14/2022,278,2022-11-10 12:54:00,81,0,2022-11-14 10:50:00,79,0,122
2022-07-10 09:52:42,SNA-PHX-11/17/2022-11/21/2022,SNA,PHX,11/17/2022,11/21/2022,448,2022-11-17 12:54:00,81,0,2022-11-21 10:50:00,79,0,129
2022-07-10 09:53:35,SNA-PHX-11/24/2022-11/28/2022,SNA,PHX,11/24/2022,11/28/2022,390,2022-11-24 12:54:00,81,0,2022-11-28 10:50:00,79,0,136
2022-07-10 09:54:26,SNA-PHX-12/01/2022-12/05/2022,SNA,PHX,12/01/2022,12/05/2022,248,2022-12-01 12:54:00,81,0,2022-12-05 14:30:00,79,0,143
2022-07-10 09:55:16,SNA-PHX-12/08/2022-12/12/2022,SNA,PHX,12/08/2022,12/12/2022,248,2022-12-08 12:54:00,81,0,2022-12-12 14:30:00,79,0,150
2022-07-10 09:56:10,SNA-PHX-12/15/2022-12/19/2022,SNA,PHX,12/15/2022,12/19/2022,417,2022-12-15 12:54:00,81,0,2022-12-19 08:20:00,83,0,157
2022-07-10 09:57:04,SNA-PHX-12/22/2022-12/26/2022,SNA,PHX,12/22/2022,12/26/2022,480,2022-12-22 12:54:00,81,0,2022-12-26 10:50:00,79,0,164
2022-07-10 09:57:56,SNA-PHX-12/29/2022-01/02/2023,SNA,PHX,12/29/2022,01/02/2023,450,2022-12-29 12:54:00,81,0,2023-01-02 10:50:00,79,0,171
2022-07-10 09:58:49,SNA-PHX-01/05/2023-01/09/2023,SNA,PHX,01/05/2023,01/09/2023,260,2023-01-05 12:54:00,81,0,2023-01-09 10:50:00,79,0,178
2022-07-10 09:59:42,SNA-PHX-01/12/2023-01/16/2023,SNA,PHX,01/12/2023,01/16/2023,380,2023-01-12 12:54:00,81,0,2023-01-16 10:50:00,79,0,185
