time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops,days_before_purchase
2022-07-10 10:13:16,LAX-ORD-07/14/2022-07/18/2022,LAX,ORD,07/14/2022,07/18/2022,665,2022-07-14 13:20:00,256,0,2022-07-18 15:17:00,365,1,3
2022-07-10 10:14:16,LAX-ORD-07/21/2022-07/25/2022,LAX,ORD,07/21/2022,07/25/2022,537,2022-07-21 17:50:00,248,0,2022-07-25 06:45:00,450,1,10
2022-07-10 10:15:14,LAX-ORD-07/28/2022-08/01/2022,LAX,ORD,07/28/2022,08/01/2022,597,2022-07-28 12:21:00,384,1,2022-08-01 11:10:00,444,1,17
2022-07-10 10:16:13,LAX-ORD-08/04/2022-08/08/2022,LAX,ORD,08/04/2022,08/08/2022,588,2022-08-04 13:20:00,376,1,2022-08-08 13:19:00,253,0,24
2022-07-10 10:17:13,LAX-ORD-08/11/2022-08/15/2022,LAX,ORD,08/11/2022,08/15/2022,490,2022-08-11 13:20:00,376,1,2022-08-15 06:54:00,441,1,31
2022-07-10 10:18:17,LAX-ORD-08/18/2022-08/22/2022,LAX,ORD,08/18/2022,08/22/2022,485,2022-08-18 16:43:00,244,0,2022-08-22 19:34:00,261,0,38
2022-07-10 10:20:47,LAX-ORD-09/08/2022-09/12/2022,LAX,ORD,09/08/2022,09/12/2022,442,2022-09-08 16:51:00,245,0,2022-09-12 20:31:00,264,0,59
2022-07-10 10:21:48,LAX-ORD-09/15/2022-09/19/2022,LAX,ORD,09/15/2022,09/19/2022,472,2022-09-15 16:51:00,245,0,2022-09-19 18:00:00,274,0,66
2022-07-10 10:22:49,LAX-ORD-09/22/2022-09/26/2022,LAX,ORD,09/22/2022,09/26/2022,404,2022-09-22 08:25:00,356,1,2022-09-26 07:15:00,257,0,73
2022-07-10 10:30:18,LAX-ORD-12/01/2022-12/05/2022,LAX,ORD,12/01/2022,12/05/2022,451,2022-12-01 08:10:00,350,1,2022-12-05 11:45:00,264,0,143
2022-07-10 10:31:18,LAX-ORD-12/08/2022-12/12/2022,LAX,ORD,12/08/2022,12/12/2022,451,2022-12-08 08:10:00,350,1,2022-12-12 11:45:00,264,0,150
2022-07-10 10:32:19,LAX-ORD-12/15/2022-12/19/2022,LAX,ORD,12/15/2022,12/19/2022,501,2022-12-15 13:31:00,249,0,2022-12-19 16:35:00,345,1,157
2022-07-10 10:33:20,LAX-ORD-12/22/2022-12/26/2022,LAX,ORD,12/22/2022,12/26/2022,621,2022-12-22 18:05:00,234,0,2022-12-26 08:20:00,425,1,164
2022-07-10 10:34:19,LAX-ORD-12/29/2022-01/02/2023,LAX,ORD,12/29/2022,01/02/2023,591,2022-12-29 15:25:00,240,0,2023-01-02 16:35:00,345,1,171
2022-07-10 10:35:20,LAX-ORD-01/05/2023-01/09/2023,LAX,ORD,01/05/2023,01/09/2023,472,2023-01-05 11:40:00,245,0,2023-01-09 22:00:00,271,0,178
