time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops,days_before_purchase
2022-07-11 13:23:38,BOS-SNA-2022-07-22-2022-07-31,BOS,SNA,07/22/2022,07/31/2022,773,2022-07-22 05:30:00,486,1,2022-07-31 16:44:00,610,1,10
2022-07-11 13:24:41,BOS-SNA-2022-07-29-2022-08-07,BOS,SNA,07/29/2022,08/07/2022,602,2022-07-29 05:30:00,486,1,2022-08-07 16:44:00,610,1,17
2022-07-11 13:25:43,BOS-SNA-2022-08-05-2022-08-14,BOS,SNA,08/05/2022,08/14/2022,602,2022-08-05 06:44:00,482,1,2022-08-14 13:06:00,467,1,24
2022-07-11 13:26:54,BOS-SNA-2022-08-12-2022-08-21,BOS,SNA,08/12/2022,08/21/2022,709,2022-08-12 06:15:00,483,1,2022-08-21 16:44:00,603,1,31
2022-07-11 13:27:58,BOS-SNA-2022-08-19-2022-08-28,BOS,SNA,08/19/2022,08/28/2022,709,2022-08-19 06:40:00,492,1,2022-08-28 16:44:00,603,1,38
2022-07-11 13:29:09,BOS-SNA-2022-08-26-2022-09-04,BOS,SNA,08/26/2022,09/04/2022,560,2022-08-26 16:54:00,460,1,2022-09-04 12:42:00,485,1,45
2022-07-11 13:31:10,BOS-SNA-2022-09-09-2022-09-18,BOS,SNA,09/09/2022,09/18/2022,569,2022-09-09 05:30:00,496,1,2022-09-18 16:44:00,573,1,59
2022-07-11 13:32:16,BOS-SNA-2022-09-16-2022-09-25,BOS,SNA,09/16/2022,09/25/2022,622,2022-09-16 05:30:00,496,1,2022-09-25 16:44:00,573,1,66
2022-07-11 13:33:25,BOS-SNA-2022-09-23-2022-10-02,BOS,SNA,09/23/2022,10/02/2022,687,2022-09-23 05:30:00,496,1,2022-10-02 08:59:00,556,1,73
2022-07-11 13:34:23,BOS-SNA-2022-09-30-2022-10-09,BOS,SNA,09/30/2022,10/09/2022,687,2022-09-30 05:30:00,496,1,2022-10-09 08:15:00,585,1,80
2022-07-11 13:36:07,BOS-SNA-2022-10-14-2022-10-23,BOS,SNA,10/14/2022,10/23/2022,676,2022-10-14 05:30:00,501,1,2022-10-23 12:29:00,854,1,94
2022-07-11 13:37:12,BOS-SNA-2022-10-21-2022-10-30,BOS,SNA,10/21/2022,10/30/2022,611,2022-10-21 05:30:00,501,1,2022-10-30 19:40:00,436,1,101
2022-07-11 13:38:20,BOS-SNA-2022-10-28-2022-11-06,BOS,SNA,10/28/2022,11/06/2022,611,2022-10-28 05:30:00,501,1,2022-11-06 19:40:00,436,1,108
2022-07-11 13:39:25,BOS-SNA-2022-11-04-2022-11-13,BOS,SNA,11/04/2022,11/13/2022,611,2022-11-04 05:52:00,526,1,2022-11-13 19:40:00,436,1,115
2022-07-11 13:40:30,BOS-SNA-2022-11-11-2022-11-20,BOS,SNA,11/11/2022,11/20/2022,696,2022-11-11 05:46:00,475,1,2022-11-20 10:57:00,435,1,122
2022-07-11 13:41:29,BOS-SNA-2022-11-18-2022-11-27,BOS,SNA,11/18/2022,11/27/2022,969,2022-11-18 05:46:00,475,1,2022-11-27 19:40:00,436,1,129
2022-07-11 13:42:30,BOS-SNA-2022-11-25-2022-12-04,BOS,SNA,11/25/2022,12/04/2022,578,2022-11-25 10:00:00,469,1,2022-12-04 10:57:00,435,1,136
2022-07-11 13:43:31,BOS-SNA-2022-12-02-2022-12-11,BOS,SNA,12/02/2022,12/11/2022,558,2022-12-02 05:46:00,475,1,2022-12-11 12:54:00,411,1,143
2022-07-11 13:44:32,BOS-SNA-2022-12-09-2022-12-18,BOS,SNA,12/09/2022,12/18/2022,558,2022-12-09 05:46:00,475,1,2022-12-18 08:11:00,413,1,150
2022-07-11 13:45:35,BOS-SNA-2022-12-16-2022-12-25,BOS,SNA,12/16/2022,12/25/2022,531,2022-12-16 10:00:00,469,1,2022-12-25 12:54:00,411,1,157
2022-07-11 13:46:34,BOS-SNA-2022-12-23-2023-01-01,BOS,SNA,12/23/2022,01/01/2023,913,2022-12-23 05:00:00,530,1,2023-01-01 12:54:00,411,1,164
2022-07-11 13:47:38,BOS-SNA-2022-12-30-2023-01-08,BOS,SNA,12/30/2022,01/08/2023,704,2022-12-30 14:12:00,546,1,2023-01-08 11:46:00,523,1,171
2022-07-11 13:48:41,BOS-SNA-2023-01-06-2023-01-15,BOS,SNA,01/06/2023,01/15/2023,454,2023-01-06 06:00:00,489,1,2023-01-15 12:54:00,411,1,178
2022-07-11 13:49:41,BOS-SNA-2023-01-13-2023-01-22,BOS,SNA,01/13/2023,01/22/2023,578,2023-01-13 05:46:00,475,1,2023-01-22 08:11:00,413,1,185
