time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops,days_before_purchase
2022-07-06 08:29:09,SNA-PHX-07/07/2022-07/11/2022,SNA,PHX,07/07/2022,07/11/2022,353,2022-07-07 13:11:00,79,0,2022-07-11 10:18:00,88,0,0
2022-07-06 08:30:02,SNA-PHX-07/14/2022-07/18/2022,SNA,PHX,07/14/2022,07/18/2022,238,2022-07-14 16:44:00,84,0,2022-07-18 20:05:00,78,0,7
2022-07-06 08:30:56,SNA-PHX-07/21/2022-07/25/2022,SNA,PHX,07/21/2022,07/25/2022,274,2022-07-21 16:44:00,84,0,2022-07-25 10:18:00,88,0,14
2022-07-06 08:31:48,SNA-PHX-07/28/2022-08/01/2022,SNA,PHX,07/28/2022,08/01/2022,234,2022-07-28 16:44:00,84,0,2022-08-01 10:18:00,88,0,21
2022-07-06 08:32:42,SNA-PHX-08/04/2022-08/08/2022,SNA,PHX,08/04/2022,08/08/2022,250,2022-08-04 13:06:00,79,0,2022-08-08 14:00:00,79,0,28
2022-07-06 08:33:37,SNA-PHX-08/11/2022-08/15/2022,SNA,PHX,08/11/2022,08/15/2022,274,2022-08-11 16:44:00,84,0,2022-08-15 10:18:00,88,0,35
2022-07-06 08:34:30,SNA-PHX-08/18/2022-08/22/2022,SNA,PHX,08/18/2022,08/22/2022,234,2022-08-18 12:42:00,76,0,2022-08-22 14:02:00,78,0,42
2022-07-06 08:35:23,SNA-PHX-08/25/2022-08/29/2022,SNA,PHX,08/25/2022,08/29/2022,258,2022-08-25 10:24:00,75,0,2022-08-29 14:02:00,78,0,49
2022-07-06 08:36:15,SNA-PHX-09/01/2022-09/05/2022,SNA,PHX,09/01/2022,09/05/2022,338,2022-09-01 12:42:00,76,0,2022-09-05 10:25:00,87,0,56
2022-07-06 08:37:59,SNA-PHX-09/15/2022-09/19/2022,SNA,PHX,09/15/2022,09/19/2022,218,2022-09-15 12:19:00,87,0,2022-09-19 20:15:00,77,0,70
2022-07-06 08:38:52,SNA-PHX-09/22/2022-09/26/2022,SNA,PHX,09/22/2022,09/26/2022,238,2022-09-22 12:19:00,87,0,2022-09-26 20:15:00,77,0,77
2022-07-06 08:39:46,SNA-PHX-09/29/2022-10/03/2022,SNA,PHX,09/29/2022,10/03/2022,248,2022-09-29 12:19:00,87,0,2022-10-03 16:45:00,78,0,84
2022-07-06 08:40:40,SNA-PHX-10/06/2022-10/10/2022,SNA,PHX,10/06/2022,10/10/2022,318,2022-10-06 12:29:00,82,0,2022-10-10 10:16:00,83,0,91
2022-07-06 08:41:34,SNA-PHX-10/13/2022-10/17/2022,SNA,PHX,10/13/2022,10/17/2022,289,2022-10-13 12:29:00,82,0,2022-10-17 16:45:00,81,0,98
