timestamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops
2022-06-24 02:04:35,SNA-PHX-06/30/2022-07/04/2022,SNA,PHX,06/30/2022,07/04/2022,280.00,06-30-2022 12:56:00,78,0,07-04-2022 14:00:00,79,0
2022-06-24 02:05:28,SNA-PHX-07/07/2022-07/11/2022,SNA,PHX,07/07/2022,07/11/2022,301.00,07-07-2022 13:11:00,79,0,07-11-2022 14:00:00,79,0
2022-06-24 02:06:20,SNA-PHX-07/14/2022-07/18/2022,SNA,PHX,07/14/2022,07/18/2022,298.00,07-14-2022 13:11:00,79,0,07-18-2022 14:00:00,79,0
2022-06-24 02:07:12,SNA-PHX-07/21/2022-07/25/2022,SNA,PHX,07/21/2022,07/25/2022,298.00,07-21-2022 16:44:00,84,0,07-25-2022 10:18:00,88,0
2022-06-24 02:08:05,SNA-PHX-07/28/2022-08/01/2022,SNA,PHX,07/28/2022,08/01/2022,298.00,07-28-2022 13:11:00,79,0,08-01-2022 10:18:00,88,0
2022-06-24 02:08:57,SNA-PHX-08/04/2022-08/08/2022,SNA,PHX,08/04/2022,08/08/2022,298.00,08-04-2022 13:06:00,79,0,08-08-2022 14:00:00,79,0
2022-06-24 02:09:49,SNA-PHX-08/11/2022-08/15/2022,SNA,PHX,08/11/2022,08/15/2022,274.00,08-11-2022 13:06:00,79,0,08-15-2022 14:00:00,79,0
2022-06-24 02:10:41,SNA-PHX-08/18/2022-08/22/2022,SNA,PHX,08/18/2022,08/22/2022,258.00,08-18-2022 12:42:00,76,0,08-22-2022 14:02:00,78,0
2022-06-24 02:11:32,SNA-PHX-08/25/2022-08/29/2022,SNA,PHX,08/25/2022,08/29/2022,218.00,08-25-2022 12:42:00,76,0,08-29-2022 14:02:00,78,0
2022-06-24 02:12:25,SNA-PHX-09/01/2022-09/05/2022,SNA,PHX,09/01/2022,09/05/2022,338.00,09-01-2022 12:42:00,76,0,09-05-2022 10:25:00,87,0
2022-06-24 02:13:16,SNA-PHX-09/08/2022-09/12/2022,SNA,PHX,09/08/2022,09/12/2022,279.00,09-08-2022 12:17:00,87,0,09-12-2022 14:02:00,78,0
2022-06-24 02:14:07,SNA-PHX-09/15/2022-09/19/2022,SNA,PHX,09/15/2022,09/19/2022,218.00,09-15-2022 12:17:00,87,0,09-19-2022 14:02:00,78,0
2022-06-24 02:14:59,SNA-PHX-09/22/2022-09/26/2022,SNA,PHX,09/22/2022,09/26/2022,238.00,09-22-2022 16:44:00,78,0,09-26-2022 14:02:00,78,0
2022-06-24 02:15:49,SNA-PHX-09/29/2022-10/03/2022,SNA,PHX,09/29/2022,10/03/2022,259.00,09-29-2022 12:17:00,87,0,10-03-2022 14:02:00,78,0
2022-06-24 02:16:42,SNA-PHX-10/06/2022-10/10/2022,SNA,PHX,10/06/2022,10/10/2022,318.00,10-06-2022 12:29:00,82,0,10-10-2022 10:16:00,83,0
2022-06-24 02:17:34,SNA-PHX-10/13/2022-10/17/2022,SNA,PHX,10/13/2022,10/17/2022,289.00,10-13-2022 12:29:00,82,0,10-17-2022 20:30:00,80,0
2022-06-24 02:18:25,SNA-PHX-10/20/2022-10/24/2022,SNA,PHX,10/20/2022,10/24/2022,278.00,10-20-2022 12:29:00,82,0,10-24-2022 16:45:00,81,0
2022-06-24 02:19:17,SNA-PHX-10/27/2022-10/31/2022,SNA,PHX,10/27/2022,10/31/2022,248.00,10-27-2022 12:29:00,82,0,10-31-2022 20:05:00,82,0
