timestamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops
2022-06-24 09:01:28,LAX-MUC-07/01/2022-07/05/2022,LAX,MUC,07/01/2022,07/05/2022,2187.00,07-01-2022 17:24:00,1261,2,07-05-2022 09:15:00,1117,1
2022-06-24 09:02:29,LAX-MUC-07/08/2022-07/12/2022,LAX,MUC,07/08/2022,07/12/2022,1860.00,07-08-2022 07:35:00,865,1,07-12-2022 09:15:00,1147,2
2022-06-24 09:03:35,LAX-MUC-07/15/2022-07/19/2022,LAX,MUC,07/15/2022,07/19/2022,2015.00,07-15-2022 07:35:00,865,1,07-19-2022 09:15:00,1147,2
2022-06-24 09:04:42,LAX-MUC-07/22/2022-07/26/2022,LAX,MUC,07/22/2022,07/26/2022,2010.00,07-22-2022 07:35:00,865,1,07-26-2022 09:15:00,1212,1
2022-06-24 09:05:48,LAX-MUC-07/29/2022-08/02/2022,LAX,MUC,07/29/2022,08/02/2022,2128.00,07-29-2022 07:35:00,865,1,08-02-2022 16:15:00,1790,1
2022-06-24 09:06:53,LAX-MUC-08/05/2022-08/09/2022,LAX,MUC,08/05/2022,08/09/2022,2085.00,08-05-2022 07:35:00,865,1,08-09-2022 09:15:00,1117,1
2022-06-24 09:07:59,LAX-MUC-08/12/2022-08/16/2022,LAX,MUC,08/12/2022,08/16/2022,1855.00,08-12-2022 07:35:00,865,1,08-16-2022 09:15:00,1122,1
2022-06-24 09:09:07,LAX-MUC-08/19/2022-08/23/2022,LAX,MUC,08/19/2022,08/23/2022,2010.00,08-19-2022 07:30:00,870,1,08-23-2022 09:15:00,987,1
2022-06-24 09:10:15,LAX-MUC-08/26/2022-08/30/2022,LAX,MUC,08/26/2022,08/30/2022,1855.00,08-26-2022 07:30:00,870,1,08-30-2022 09:15:00,987,1
2022-06-24 09:11:22,LAX-MUC-09/02/2022-09/06/2022,LAX,MUC,09/02/2022,09/06/2022,1855.00,09-02-2022 07:30:00,870,1,09-06-2022 09:15:00,987,1
2022-06-24 09:12:32,LAX-MUC-09/09/2022-09/13/2022,LAX,MUC,09/09/2022,09/13/2022,1545.00,09-09-2022 06:00:00,960,1,09-13-2022 09:15:00,985,1
2022-06-24 09:13:38,LAX-MUC-09/16/2022-09/20/2022,LAX,MUC,09/16/2022,09/20/2022,1620.00,09-16-2022 07:27:00,873,1,09-20-2022 09:15:00,985,1
2022-06-24 09:14:45,LAX-MUC-09/23/2022-09/27/2022,LAX,MUC,09/23/2022,09/27/2022,1695.00,09-23-2022 07:27:00,873,1,09-27-2022 09:15:00,985,1
2022-06-24 09:15:53,LAX-MUC-09/30/2022-10/04/2022,LAX,MUC,09/30/2022,10/04/2022,1695.00,09-30-2022 07:27:00,873,1,10-04-2022 09:15:00,985,1
2022-06-24 09:17:02,LAX-MUC-10/07/2022-10/11/2022,LAX,MUC,10/07/2022,10/11/2022,1545.00,10-07-2022 07:20:00,880,1,10-11-2022 09:15:00,1001,1
2022-06-24 09:18:07,LAX-MUC-10/14/2022-10/18/2022,LAX,MUC,10/14/2022,10/18/2022,1545.00,10-14-2022 07:20:00,880,1,10-18-2022 09:15:00,1001,1
2022-06-24 09:19:14,LAX-MUC-10/21/2022-10/25/2022,LAX,MUC,10/21/2022,10/25/2022,1545.00,10-21-2022 07:20:00,880,1,10-25-2022 09:15:00,1001,1
2022-06-24 09:20:22,LAX-MUC-10/28/2022-11/01/2022,LAX,MUC,10/28/2022,11/01/2022,1345.00,10-28-2022 07:20:00,880,1,11-01-2022 09:30:00,1045,1
2022-06-24 09:21:28,LAX-MUC-11/04/2022-11/08/2022,LAX,MUC,11/04/2022,11/08/2022,1345.00,11-04-2022 08:10:00,860,1,11-08-2022 09:30:00,1105,1
2022-06-24 09:22:35,LAX-MUC-11/11/2022-11/15/2022,LAX,MUC,11/11/2022,11/15/2022,1500.00,11-11-2022 06:00:00,930,1,11-15-2022 09:30:00,1326,1
2022-06-24 09:23:43,LAX-MUC-11/18/2022-11/22/2022,LAX,MUC,11/18/2022,11/22/2022,1545.00,11-18-2022 06:00:00,930,1,11-22-2022 09:30:00,1105,1
2022-06-24 09:24:50,LAX-MUC-11/25/2022-11/29/2022,LAX,MUC,11/25/2022,11/29/2022,1345.00,11-25-2022 06:00:00,930,1,11-29-2022 09:30:00,1105,1
2022-06-24 09:26:02,LAX-MUC-12/02/2022-12/06/2022,LAX,MUC,12/02/2022,12/06/2022,1345.00,12-02-2022 06:00:00,930,1,12-06-2022 09:30:00,1105,1
2022-06-24 09:27:07,LAX-MUC-12/09/2022-12/13/2022,LAX,MUC,12/09/2022,12/13/2022,1345.00,12-09-2022 06:00:00,930,1,12-13-2022 09:30:00,1105,1
2022-06-24 09:28:14,LAX-MUC-12/16/2022-12/20/2022,LAX,MUC,12/16/2022,12/20/2022,1600.00,12-16-2022 06:00:00,930,1,12-20-2022 09:30:00,1190,2
2022-06-24 09:29:21,LAX-MUC-12/23/2022-12/27/2022,LAX,MUC,12/23/2022,12/27/2022,1793.00,12-23-2022 06:00:00,930,1,12-27-2022 07:40:00,870,1
2022-06-24 09:30:26,LAX-MUC-12/30/2022-01/03/2023,LAX,MUC,12/30/2022,01/03/2023,1700.00,12-30-2022 06:00:00,930,1,01-03-2023 09:30:00,1105,1
