timestamp,trip_id,depart_airport,return_airport,flight_code,depart_date,return_date,total_cost,depart_datetime,flight_time,depart_duration,depart_stops,return_datetime,return_duration,return_stops
6/26/22 8:23,SNA-PHX-06/30/2022-07/04/2022,SNA,PHX,SNA to PHX,6/30/22,7/4/22,280,6/30/22 12:56,12:56 PM,78,0,7/4/22 10:18,88,0
6/26/22 8:24,SNA-PHX-07/07/2022-07/11/2022,SNA,PHX,SNA to PHX,7/7/22,7/11/22,301,7/7/22 10:17,10:17 AM,78,0,7/11/22 14:00,79,0
6/26/22 8:25,SNA-PHX-07/14/2022-07/18/2022,SNA,PHX,SNA to PHX,7/14/22,7/18/22,250,7/14/22 10:17,10:17 AM,78,0,7/18/22 17:42,78,0
6/26/22 8:26,SNA-PHX-07/21/2022-07/25/2022,SNA,PHX,SNA to PHX,7/21/22,7/25/22,298,7/21/22 13:11,1:11 PM,79,0,7/25/22 10:18,88,0
6/26/22 8:27,SNA-PHX-07/28/2022-08/01/2022,SNA,PHX,SNA to PHX,7/28/22,8/1/22,298,7/28/22 13:11,1:11 PM,79,0,8/1/22 10:18,88,0
6/26/22 8:28,SNA-PHX-08/04/2022-08/08/2022,SNA,PHX,SNA to PHX,8/4/22,8/8/22,298,8/4/22 13:06,1:06 PM,79,0,8/8/22 14:00,79,0
6/26/22 8:29,SNA-PHX-08/11/2022-08/15/2022,SNA,PHX,SNA to PHX,8/11/22,8/15/22,274,8/11/22 13:06,1:06 PM,79,0,8/15/22 14:00,79,0
6/26/22 8:29,SNA-PHX-08/18/2022-08/22/2022,SNA,PHX,SNA to PHX,8/18/22,8/22/22,234,8/18/22 12:42,12:42 PM,76,0,8/22/22 14:02,78,0
6/26/22 8:30,SNA-PHX-08/25/2022-08/29/2022,SNA,PHX,SNA to PHX,8/25/22,8/29/22,234,8/25/22 12:42,12:42 PM,76,0,8/29/22 14:02,78,0
6/26/22 8:31,SNA-PHX-09/01/2022-09/05/2022,SNA,PHX,SNA to PHX,9/1/22,9/5/22,338,9/1/22 12:42,12:42 PM,76,0,9/5/22 10:25,87,0
6/26/22 8:32,SNA-PHX-09/08/2022-09/12/2022,SNA,PHX,SNA to PHX,9/8/22,9/12/22,258,9/8/22 16:44,4:44 PM,78,0,9/12/22 14:02,78,0
6/26/22 8:33,SNA-PHX-09/15/2022-09/19/2022,SNA,PHX,SNA to PHX,9/15/22,9/19/22,218,9/15/22 12:19,12:19 PM,87,0,9/19/22 20:15,77,0
6/26/22 8:34,SNA-PHX-09/22/2022-09/26/2022,SNA,PHX,SNA to PHX,9/22/22,9/26/22,238,9/22/22 12:19,12:19 PM,87,0,9/26/22 14:02,78,0
6/26/22 8:35,SNA-PHX-09/29/2022-10/03/2022,SNA,PHX,SNA to PHX,9/29/22,10/3/22,248,9/29/22 12:19,12:19 PM,87,0,10/3/22 14:02,78,0
