timestamp(date),trip_id(Varchar2(60)),depart_airport(Varchar2(4)),return_airport(Varchar2(4)),depart_date(date),return_date(date),total_cost(Integer),depart_datetime(date),depart_duration(Integer),depart_stops(Integer),return_datetime(date),return_duration(integer),return_stops(integer)
6/26/2022 8:23,SNA-PHX-06/30/2022-07/04/2022,SNA,PHX,6/30/2022,7/4/2022,280,6/30/2022 12:56,78,0,7/4/2022 10:18,88,0
6/26/2022 8:24,SNA-PHX-07/07/2022-07/11/2022,SNA,PHX,7/7/2022,7/11/2022,301,7/7/2022 10:17,78,0,7/11/2022 14:00,79,0
6/26/2022 8:25,SNA-PHX-07/14/2022-07/18/2022,SNA,PHX,7/14/2022,7/18/2022,250,7/14/2022 10:17,78,0,7/18/2022 17:42,78,0
6/26/2022 8:26,SNA-PHX-07/21/2022-07/25/2022,SNA,PHX,7/21/2022,7/25/2022,298,7/21/2022 13:11,79,0,7/25/2022 10:18,88,0
6/26/2022 8:27,SNA-PHX-07/28/2022-08/01/2022,SNA,PHX,7/28/2022,8/1/2022,298,7/28/2022 13:11,79,0,8/1/2022 10:18,88,0
6/26/2022 8:28,SNA-PHX-08/04/2022-08/08/2022,SNA,PHX,8/4/2022,8/8/2022,298,8/4/2022 13:06,79,0,8/8/2022 14:00,79,0
6/26/2022 8:29,SNA-PHX-08/11/2022-08/15/2022,SNA,PHX,8/11/2022,8/15/2022,274,8/11/2022 13:06,79,0,8/15/2022 14:00,79,0
6/26/2022 8:29,SNA-PHX-08/18/2022-08/22/2022,SNA,PHX,8/18/2022,8/22/2022,234,8/18/2022 12:42,76,0,8/22/2022 14:02,78,0
6/26/2022 8:30,SNA-PHX-08/25/2022-08/29/2022,SNA,PHX,8/25/2022,8/29/2022,234,8/25/2022 12:42,76,0,8/29/2022 14:02,78,0
6/26/2022 8:31,SNA-PHX-09/01/2022-09/05/2022,SNA,PHX,9/1/2022,9/5/2022,338,9/1/2022 12:42,76,0,9/5/2022 10:25,87,0
6/26/2022 8:32,SNA-PHX-09/08/2022-09/12/2022,SNA,PHX,9/8/2022,9/12/2022,258,9/8/2022 16:44,78,0,9/12/2022 14:02,78,0
6/26/2022 8:33,SNA-PHX-09/15/2022-09/19/2022,SNA,PHX,9/15/2022,9/19/2022,218,9/15/2022 12:19,87,0,9/19/2022 20:15,77,0
6/26/2022 8:34,SNA-PHX-09/22/2022-09/26/2022,SNA,PHX,9/22/2022,9/26/2022,238,9/22/2022 12:19,87,0,9/26/2022 14:02,78,0
6/26/2022 8:35,SNA-PHX-09/29/2022-10/03/2022,SNA,PHX,9/29/2022,10/3/2022,248,9/29/2022 12:19,87,0,10/3/2022 14:02,78,0
6/26/2022 8:35,SNA-PHX-10/06/2022-10/10/2022,SNA,PHX,10/6/2022,10/10/2022,318,10/6/2022 12:29,82,0,10/10/2022 10:16,83,0
6/26/2022 8:37,SNA-PHX-10/13/2022-10/17/2022,SNA,PHX,10/13/2022,10/17/2022,289,10/13/2022 12:29,82,0,10/17/2022 20:30,80,0
6/26/2022 8:37,SNA-PHX-10/20/2022-10/24/2022,SNA,PHX,10/20/2022,10/24/2022,278,10/20/2022 12:29,82,0,10/24/2022 16:45,81,0
6/26/2022 8:38,SNA-PHX-10/27/2022-10/31/2022,SNA,PHX,10/27/2022,10/31/2022,248,10/27/2022 12:29,82,0,10/31/2022 20:05,82,0
6/26/2022 8:39,SNA-PHX-11/03/2022-11/07/2022,SNA,PHX,11/3/2022,11/7/2022,278,11/3/2022 12:54,81,0,11/7/2022 8:20,83,0
6/26/2022 8:40,SNA-PHX-11/10/2022-11/14/2022,SNA,PHX,11/10/2022,11/14/2022,278,11/10/2022 12:54,81,0,11/14/2022 10:50,79,0
6/26/2022 8:41,SNA-PHX-11/17/2022-11/21/2022,SNA,PHX,11/17/2022,11/21/2022,448,11/17/2022 16:42,79,0,11/21/2022 10:50,79,0
